Schedule List Name,Audio File,Time,Days,Is Muted,Created Date
Rövidített,school_triad.mp3,07:10,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:50:45
Rövidített,school_triad.mp3,07:45,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:50:57
Rövidített,school_triad.mp3,07:50,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:51:11
Rövidített,school_triad.mp3,08:25,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:51:19
Rövidített,school_triad.mp3,08:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:51:40
Rövidített,school_triad.mp3,09:10,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:52:24
Rövidített,school_triad.mp3,09:20,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:02
Rövidített,school_triad.mp3,09:55,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:08
Rövidített,school_triad.mp3,10:05,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:24
Rövidített,school_triad.mp3,10:40,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:30
Rövidített,school_triad.mp3,10:50,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:44
Rövidített,school_triad.mp3,11:25,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:53:51
Rövidített,school_triad.mp3,11:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:54:04
Rövidített,school_triad.mp3,12:10,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:54:10
Rövidített,school_triad.mp3,12:40,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:54:27
Rövidített,school_triad.mp3,13:15,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:54:46
Rövidített,school_triad.mp3,13:20,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:55:01
Rövidített,school_triad.mp3,13:55,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:55:11
Rövidített,school_triad.mp3,14:00,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:55:23
Rövidített,school_triad.mp3,14:35,"Monday, Tuesday, Wednesday, Thursday, Friday",No,2025-10-26 11:55:33
